age,salaire,anciennete,decision
24,28000,1,non
25,29000,1,non
26,30000,2,non
27,31000,2,non
24,28500,1,non
25,29500,1,non
26,30500,2,non
27,31500,2,non
24,29000,1,non
25,30000,2,non
26,31000,2,non
27,32000,2,non
35,45000,5,oui
36,46000,5,oui
37,47000,6,oui
38,48000,6,oui
35,45500,5,oui
36,46500,5,oui
37,47500,6,oui
38,48500,6,oui
35,46000,5,oui
36,47000,6,oui
37,48000,6,oui
38,49000,7,oui
48,62000,12,oui
49,63000,12,oui
50,64000,13,oui
51,65000,13,oui
48,62500,12,oui
49,63500,12,oui
50,64500,13,oui
51,65500,13,oui
48,63000,12,oui
49,64000,13,oui
50,65000,13,oui
51,66000,14,oui
30,35000,3,non
31,36000,3,non
32,37000,4,non
33,38000,4,non
30,35500,3,non
31,36500,3,non
32,37500,4,non
33,38500,4,non
30,36000,3,non
31,37000,4,non
32,38000,4,non
33,39000,4,non
